method,projects_evaluated,classes_evaluated,avg_cosine,avg_bert_precision,avg_bert_recall,avg_bert_f1,cosine_std,bert_f1_std
NLG,3,150,0.17491601273760915,0.007209469564259052,0.15500347316265106,0.07910480350255966,0.09066059418076457,0.1402028650045395
SWUM,3,150,0.25890832895758764,0.2095363289117813,0.21448801457881927,0.2105688750743866,0.11608490407793133,0.14605353772640228
LLM (Claude),3,150,0.306427442232475,0.12884950637817383,0.37635180354118347,0.25025948882102966,0.1104962549691466,0.10427261888980865
LLM (GPT),3,150,0.2585468137540421,0.2258274108171463,0.3304375410079956,0.27822571992874146,0.09730154158158744,0.10052171349525452
LLM (Mistral),3,150,0.3070913840864141,0.1800485998392105,0.36186981201171875,0.2698930501937866,0.11670889790683864,0.09992612898349762
LLM (Qwen),3,150,0.2867582723909382,0.25594544410705566,0.35235634446144104,0.30424976348876953,0.09873106601502117,0.10850251466035843
LLM (Claude NC),3,150,0.3105374081009158,0.12478349357843399,0.3750614523887634,0.24752113223075867,0.11331918407870892,0.10495435446500778
LLM (GPT NC),3,150,0.25885665203958164,0.22516581416130066,0.3286757469177246,0.2769547998905182,0.10004799253414111,0.09941618889570236
LLM (Mistral NC),3,150,0.3040899024687971,0.1900642365217209,0.36482247710227966,0.2765428125858307,0.10959673007877259,0.09975564479827881
LLM (Qwen NC),3,150,0.28164452222313985,0.2493477165699005,0.3460269868373871,0.29784515500068665,0.10856931598721424,0.11046179383993149
