method,design_pattern,matched_pairs,classes,avg_cosine,cosine_std,avg_bert_precision,avg_bert_recall,avg_bert_f1,bert_f1_std
NLG,Adapter,14,14,0.19384464103341315,0.11530095777986632,0.8523111,0.8579019,0.8549752,0.020782318
NLG,Abstract Factory,29,28,0.17830173809889402,0.08761239695889118,0.83405393,0.8674851,0.8502787,0.020470358
NLG,Singleton,12,12,0.16711175374599382,0.0957540467081642,0.8436523,0.8536326,0.84811705,0.02616289
NLG,Factory Method,20,20,0.17941169143060628,0.09314533935987301,0.8252465,0.86445713,0.8440422,0.021001847
NLG,Facade,18,18,0.15468025262829135,0.07975567582161039,0.8412197,0.8487059,0.8439088,0.0324109
NLG,Visitor,19,19,0.20398816763236835,0.07619054417828411,0.82497346,0.8573704,0.84064853,0.019436216
NLG,Observer,14,14,0.16924714034490623,0.08531144035113747,0.82647455,0.85367006,0.8394273,0.016051132
NLG,Decorator,14,14,0.15723642236858182,0.08865707895972275,0.8258998,0.85075384,0.837881,0.01801816
NLG,Memento,10,10,0.1528462047428531,0.08018496939527653,0.82097185,0.8512858,0.83555096,0.031286176
SWUM,Abstract Factory,29,28,0.26673736422452254,0.08881213532723324,0.89107394,0.8800714,0.88536525,0.012194746
SWUM,Visitor,19,19,0.29805752398730173,0.08902842957834729,0.9017231,0.86473566,0.8826379,0.010743172
SWUM,Factory Method,20,20,0.250435814073494,0.10087532254464879,0.89252317,0.8731885,0.8825081,0.018883444
SWUM,Decorator,14,14,0.24170496721570103,0.11570768203704285,0.90245783,0.86324394,0.88223994,0.016979951
SWUM,Observer,14,14,0.25613422042309864,0.10384719501141337,0.8995833,0.86605775,0.88193166,0.013934895
SWUM,Adapter,14,14,0.27488758224098403,0.1241015673255488,0.90106183,0.86037874,0.8801371,0.022455508
SWUM,Singleton,12,12,0.19023385933260287,0.10496100520154958,0.8997646,0.8508238,0.8743364,0.022947539
SWUM,Facade,18,18,0.220388650941248,0.10224434235775423,0.8998306,0.8439858,0.87077296,0.013066127
SWUM,Memento,10,10,0.23924884263386623,0.15705984448109106,0.8814499,0.860549,0.87065065,0.022685245
LLM (Claude),Abstract Factory,29,28,0.3409813064741173,0.09688445587451275,0.85251707,0.9068172,0.87877554,0.013025731
LLM (Claude),Factory Method,20,20,0.3193143781803254,0.13178736098323865,0.85275066,0.9038644,0.8774648,0.018511996
LLM (Claude),Facade,18,18,0.2965352928623356,0.1281663924408332,0.85959697,0.8925101,0.8756425,0.02029811
LLM (Claude),Singleton,12,12,0.2670575916752739,0.11904786272376697,0.8571561,0.8941457,0.8751635,0.022867477
LLM (Claude),Visitor,19,19,0.34156160138143704,0.0921152827569789,0.8505969,0.8943829,0.8718982,0.01591985
LLM (Claude),Decorator,14,14,0.3098412435926468,0.08442041713764785,0.8547594,0.8890483,0.871504,0.018642705
